File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine,WadaSNRMeade,WadaSNRRigal,NistSNRRigal,SyllableCount,SpeechRate
DCB_se1_ag1_f_01_1,1094,DCB_int_01,1324.7892,1327.0076,2.2184,"So it seems like you've done a lot of work with kids,",1,0,24.64115919,22.76,27.25,12,5.409304003
DCB_se1_ag1_f_02_1,486,DCB_se1_ag1_m_05,647.3986,648.6933,1.2947,Get all my work done.,1,0,19.9679125,19.62,28.0,5,3.861898509
DCB_se1_ag1_f_02_1,556,DCB_se1_ag3_m_01,737.8734,739.8302,1.9568,be done to make school safer for,1,0,11.27560746,10.61,10.75,8,4.088307441
DCB_se1_ag1_f_02_1,632,DCB_se1_ag1_m_04,848.2871,853.1127,4.8256,"g- getting your work done, getting your grades done, doing an- any- any and everything",2,0,17.29526879,16.88,4.25,22,4.559018568
DCB_se1_ag1_f_02_1,1005,DCB_se1_ag1_f_02,1338.5169,1340.475,1.9581,if you got- just got something done,1,0,14.40735928,14.11,8.0,8,4.085593177
DCB_se1_ag1_f_02_1,1035,DCB_se1_ag1_f_02,1368.0392,1372.3246,4.2854,Yeah like they just got they eyebrows done like my eyebrows on fleek.,1,0,18.76456055,18.66,38.5,14,3.26690624
DCB_se1_ag1_f_03_1,519,DCB_int_01,713.3519,714.9032,1.5513,"Okay, Miss RD-NAME-2 need her hair done.",1,0,13.80605559,13.26,6.25,7,4.512344485
DCB_se1_ag1_f_03_1,1711,DCB_se1_ag1_f_03,2286.4214,2288.4709,2.0495,"I fel- I was just like, RD-NAME-1, I'm really done.",1,0,13.96602376,13.69,20.5,10,4.879238839
DCB_se1_ag1_f_03_1,1713,DCB_se1_ag1_f_03,2288.7844,2290.2946,1.5102,"I'm really done, I'm really done, like.",2,0,11.57427985,11.23,7.0,9,5.959475566
DCB_se1_ag1_f_03_1,1766,DCB_se1_ag1_f_03,2346.0062,2346.3904,0.3842,I'm done.,1,0,9.56894995,8.99,2.0,2,5.205622072
DCB_se1_ag1_f_03_1,1770,DCB_se1_ag1_f_03,2349.3636,2349.7512,0.3876,I'm done.,1,0,19.62505948,19.34,11.0,2,5.15995872
DCB_se1_ag1_f_03_1,1776,DCB_se1_ag1_f_03,2358.8008,2361.7267,2.9259,"And you took it for granted, so therefore we're done, I'm not talking to you. Like,",1,0,17.77990922,17.17,4.75,19,6.493728425
DCB_se1_ag1_f_03_1,2146,DCB_int_01,2856.827,2859.362,2.535,"Um, we're almost done. We- sorry we got distracted.",1,0,23.03058859,22.97,34.0,13,5.128205128
DCB_se1_ag1_m_03_1,1894,DCB_se1_ag1_m_03,1805.2518,1810.17,4.9182,"my friends like, we just be laughing. Like we have a ball in every class, and then like, we still get our work done. Like,",1,0,15.64808991,15.42,9.75,28,5.693139767
DCB_se1_ag1_m_03_1,2621,DCB_se1_ag1_m_03,2451.3369,2453.3909,2.054,it's some fakes out there that haven't even done nothing.,1,0,19.20542104,18.18,17.25,13,6.329113924
DCB_se1_ag2_f_02_1,769,DCB_se1_ag2_f_02,1154.0695,1159.9135,5.844,"So it's like, I won't be working this summer, I won't be in school, and it's just like, I haven't done that in so long like, what am I gonna be doing?",1,0,11.93365508,11.39,10.5,37,6.331279945
DCB_se1_ag2_f_02_1,1574,DCB_se2_ag2_f_01,2321.2795,2323.4542,2.1747,"I'm just terrified, I'm just done, like- ",1,0,12.09925651,11.95,8.25,9,4.138501862
DCB_se1_ag2_f_02_1,1750,DCB_int_01,2567.1505,2572.4364,5.2859,"What's something that you wanna do like that's a- that you haven't done that you think, oh I've gotta do that before I-",1,0,10.65202432,9.96,8.75,28,5.297111183
DCB_se1_ag2_f_02_1,2158,DCB_se1_ag2_f_02,3149.8151,3151.5991,1.784,"Like people done got killed at go gos,",1,1,11.32156972,10.81,5.5,9,5.044843049
DCB_se1_ag2_f_02_1,2319,DCB_se1_ag2_f_02,3395.0722,3396.6651,1.5929,"Oh, I never done that either.",1,0,7.945546047,7.74,4.25,8,5.022286396
DCB_se1_ag2_f_02_1,2330,DCB_int_01,3412.215,3417.2364,5.0214,"I did that one before, I've done the one- the little duck boat where you g- where it goes down Potomac.",1,0,11.18990776,10.71,7.5,25,4.978691202
DCB_se1_ag2_f_02_1,2332,DCB_int_01,3417.7114,3422.2605,4.5491,"Um, I've done the night- the night one is the best, I think that's the prettiest one.",1,0,9.785683547,9.11,5.25,19,4.176650326
DCB_se1_ag2_f_02_1,2334,DCB_int_01,3422.5757,3425.8258,3.2501,"Um, I haven't done the dinner cruise but I've done the lunch cruise,",2,0,13.33624384,12.2,6.0,15,4.615242608
DCB_se1_ag2_f_03_1,2100,DCB_int_01,2889.391,2893.0158,3.6248,"witnessed the change? Well, I guess in your lifetime they've done a lot of changing.",1,0,19.12738557,18.32,22.25,18,4.965791216
DCB_se1_ag2_m_01_1,258,DCB_se1_ag2_m_01,385.6074,386.8599,1.2525,she done got honor roll since,1,1,21.92020767,20.88,23.75,7,5.588822355
DCB_se1_ag2_m_01_1,433,DCB_int_01,618.4536,622.443,3.9894,"what has been- okay, in your eyes what has been the most romantic thing that you've done for her?",1,0,16.4088585,15.83,11.25,22,5.514613726
DCB_se1_ag2_m_01_1,434,DCB_se1_ag2_m_01,623.4429,625.8345,2.3916,The rost romantic thing that I've done for her?,1,0,14.25112989,13.37,5.75,11,4.599431343
DCB_se1_ag2_m_01_1,442,DCB_se1_ag2_m_01,636.2518,638.4675,2.2157,I don't- I done did a couple of romantic things.,1,1,13.94288262,13.48,8.0,13,5.867220292
DCB_se1_ag2_m_01_1,448,DCB_se1_ag2_m_01,647.523,648.7585,1.2355,See well I can't- she done did that.,1,1,14.88857141,13.84,13.5,8,6.475111291
DCB_se1_ag2_m_01_1,469,DCB_int_01,680.2729,682.5729,2.3,"Mm-hm, what's the most romantic thing she's done for you?",1,0,13.23695511,12.41,12.5,11,4.782608696
DCB_se1_ag2_m_01_1,1294,DCB_int_01,1767.3373,1768.6813,1.344,Nobody else has done that in his-,1,0,7.230144034,7.11,6.5,9,6.696428571
DCB_se1_ag2_m_01_1,2033,DCB_se1_ag2_m_01,2743.4839,2745.3639,1.88,"I been- I been this, I've done this.",1,0,15.67192407,15.52,28.0,8,4.255319149
DCB_se1_ag2_m_01_1,2741,DCB_se1_ag2_m_01,3743.4447,3749.9417,6.497,"you understand that this shit this woman done did for me like she did so much shit for me like and I just grow to appreciate it, you know what I'm saying. Like at first,",1,1,13.82729169,13.03,12.75,42,6.464522087
